AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
263,Perimeter Protection,527,1,1,1,2021-06-14 15:13:29.583,199,NULL,NULL,NULL
264,Sign - General,528,1,1,1,2021-06-14 15:13:51.277,199,NULL,NULL,NULL
265,Land,529,1,1,1,2021-06-14 15:14:31.410,199,NULL,NULL,NULL
266,Fabricated Steel,530,1,1,1,2021-06-14 15:15:10.163,199,NULL,NULL,NULL
267,Steel Structure,531,1,1,1,2021-06-14 15:15:33.243,199,NULL,NULL,NULL
268,Road Structural Layer,532,1,1,1,2021-06-14 15:16:10.070,199,NULL,NULL,NULL
269,Fabricated Steel,533,1,1,1,2021-06-14 15:16:38.773,199,NULL,NULL,NULL
270,Sports Field,534,1,1,1,2021-06-14 15:17:03.880,199,NULL,NULL,NULL
271,LV Overhead Line,536,1,1,1,2021-06-14 15:18:27.673,199,NULL,NULL,NULL
272,High Mast Light,537,1,1,1,2021-06-14 15:23:06.283,199,NULL,NULL,NULL
273,Street Lights,538,1,1,1,2021-06-14 16:28:44.557,199,NULL,NULL,NULL
274,Retaining Wall,539,1,1,1,2021-06-14 16:29:57.667,199,NULL,NULL,NULL
275,Commuter Bench,544,1,1,1,2021-06-14 16:30:39.587,199,NULL,NULL,NULL
276,Commuter Shelter,30,1,1,1,2021-06-14 16:31:04.433,199,NULL,NULL,NULL
277,Footpath,78,1,1,1,2021-06-14 16:31:27.527,199,NULL,NULL,NULL
278,Guard Rail,92,1,1,1,2021-06-14 16:31:47.850,199,NULL,NULL,NULL
279,Mini Roundabout,128,1,1,1,2021-06-14 16:32:08.063,199,NULL,NULL,NULL
280,Paving,146,1,1,1,2021-06-14 16:32:26.160,199,NULL,NULL,NULL
281,Pedestrian Bridge Railing,541,1,1,1,2021-06-14 16:32:52.107,199,NULL,NULL,NULL
282,Sign - General,218,1,1,1,2021-06-14 16:33:20.257,199,NULL,NULL,NULL
283,Sign - Regulatory,219,1,1,1,2021-06-14 16:33:42.770,199,NULL,NULL,NULL
284,Speed Hump,226,1,1,1,2021-06-14 16:34:14.270,199,NULL,NULL,NULL
285,Street Lights,543,1,1,1,2021-06-14 16:34:35.360,199,NULL,NULL,NULL
